epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,2409.31,1.38107,1.8243,1.12981,1.01656,0,0.52015,0.55263,0.60677,0.31747,0.52939,0.56261,0.61603,0.33997,1.66626,2.07094,1.75668,1.18601,0,0.00036305,0.00036305,0.00036305
85,2433.54,1.34582,1.71411,1.13744,1.0219,0,0.58017,0.60526,0.64743,0.34849,0.5849,0.63158,0.66185,0.36566,1.65505,2.05419,1.61989,1.18811,0,0.0003614,0.0003614,0.0003614
86,2459.77,1.38635,1.81207,1.0329,0.98684,0,0.63023,0.65789,0.67403,0.36055,0.57259,0.65789,0.68341,0.36411,1.63927,2.06649,1.48661,1.17311,0,0.00035975,0.00035975,0.00035975
87,2484.08,1.47054,1.67364,1.05497,1.02218,0,0.63023,0.65789,0.67403,0.36055,0.57259,0.65789,0.68341,0.36411,1.63927,2.06649,1.48661,1.17311,0,0.0003581,0.0003581,0.0003581
88,2507.9,1.31802,1.54243,1.52268,0.8969,0,0.67745,0.57895,0.6624,0.34578,0.67745,0.57895,0.67979,0.3442,1.68941,2.10081,1.38695,1.20112,0,0.00035645,0.00035645,0.00035645
89,2533.1,1.52022,2.00991,1.20343,1.08664,0,0.60549,0.55263,0.60359,0.32096,0.63432,0.57895,0.63871,0.33434,1.76328,2.14821,1.44989,1.22922,0,0.0003548,0.0003548,0.0003548
90,2557.57,1.34586,1.74862,1.01375,1.00214,0,0.46523,0.68421,0.56366,0.29176,0.44835,0.71053,0.59939,0.30879,1.76501,2.10773,1.55419,1.23139,0,0.00035315,0.00035315,0.00035315
91,2582.32,1.4553,1.81419,1.10806,1.01249,0,0.45235,0.68421,0.56124,0.29507,0.46975,0.71053,0.60692,0.31455,1.73022,2.0573,1.59623,1.21806,0,0.0003515,0.0003515,0.0003515
92,2606.87,1.38471,1.90205,1.09734,0.9937,0,0.44121,0.65789,0.54246,0.29021,0.46203,0.68421,0.58784,0.29333,1.72691,2.03348,1.67068,1.22729,0,0.00034985,0.00034985,0.00034985
93,2631.67,1.35473,1.80649,1.03553,0.98046,0,0.45773,0.55263,0.52522,0.26443,0.48526,0.57073,0.58545,0.27805,1.73118,2.04219,1.72989,1.24335,0,0.0003482,0.0003482,0.0003482
