epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
92,1213.39,1.76672,2.04253,1.31826,0.96807,0,0.6418,0.65789,0.67793,0.30995,0.64246,0.63158,0.62702,0.31892,1.76591,1.57635,1.38654,1.09812,0,0.0006997,0.0006997,0.0006997
93,1223.63,1.67824,1.83391,1.26169,0.96741,0,0.6144,0.60526,0.64197,0.31622,0.58437,0.57895,0.6185,0.31724,1.74892,1.54746,1.4351,1.09974,0,0.0006964,0.0006964,0.0006964
94,1234.2,1.77197,1.7947,1.31079,1.00938,0,0.6144,0.60526,0.64197,0.31622,0.58437,0.57895,0.6185,0.31724,1.74892,1.54746,1.4351,1.09974,0,0.0006931,0.0006931,0.0006931
95,1245.62,1.81468,2.19329,1.41753,1.04911,0,0.68713,0.52632,0.61183,0.29784,0.75201,0.47368,0.61457,0.322,1.75058,1.5435,1.46312,1.0906,0,0.0006898,0.0006898,0.0006898
96,1258.21,1.73835,2.01994,1.3249,0.98436,0,0.69048,0.52632,0.6278,0.29107,0.65842,0.5,0.58879,0.28205,1.76503,1.55454,1.47684,1.08063,0,0.0006865,0.0006865,0.0006865
97,1269.77,1.71721,1.88654,1.34436,0.99543,0,0.71297,0.52305,0.63511,0.2922,0.67832,0.49944,0.61596,0.2989,1.76196,1.56313,1.48542,1.06698,0,0.0006832,0.0006832,0.0006832
98,1280.16,1.75192,2.11486,1.33211,1.00882,0,0.73951,0.52308,0.6281,0.28956,0.70281,0.5,0.60994,0.29637,1.77098,1.56377,1.48926,1.05667,0,0.0006799,0.0006799,0.0006799
99,1290.17,1.72782,2.0482,1.36194,1.00168,0,0.70119,0.52632,0.63668,0.30081,0.66438,0.5,0.62459,0.29686,1.77298,1.54683,1.52166,1.06371,0,0.0006766,0.0006766,0.0006766
100,1301.69,1.62871,1.89669,1.23711,0.95666,0,0.79723,0.52632,0.64562,0.29454,0.75056,0.5,0.63256,0.28281,1.76329,1.54883,1.52898,1.06366,0,0.0006733,0.0006733,0.0006733
101,1311.99,1.85335,2.3818,1.54433,1.02891,0,0.80346,0.52632,0.65627,0.29144,0.7614,0.5,0.64622,0.28916,1.76787,1.5742,1.51467,1.07228,0,0.00067,0.00067,0.00067
102,1320.87,1.70335,1.9971,1.33247,0.97337,0,0.80346,0.52632,0.65627,0.29144,0.7614,0.5,0.64622,0.28916,1.76787,1.5742,1.51467,1.07228,0,0.0006667,0.0006667,0.0006667
103,1331.79,1.74199,1.90189,1.25397,0.99348,0,0.84913,0.55263,0.66616,0.28055,0.80243,0.52632,0.65501,0.27884,1.7661,1.59667,1.4948,1.06824,0,0.0006634,0.0006634,0.0006634
104,1340.72,1.93298,2.15853,1.39286,0.98113,0,0.76945,0.57895,0.6626,0.2957,0.72496,0.55263,0.64822,0.28857,1.7498,1.60074,1.46636,1.05902,0,0.0006601,0.0006601,0.0006601
105,1350.69,1.8815,2.0854,1.38489,1.00846,0,0.66501,0.60526,0.64163,0.29804,0.63483,0.57895,0.62684,0.28579,1.74492,1.59574,1.49329,1.06075,0,0.0006568,0.0006568,0.0006568
106,1361.18,1.73618,2.17026,1.25276,0.95508,0,0.63362,0.63158,0.65812,0.30472,0.6067,0.60526,0.61524,0.2677,1.74332,1.63571,1.52927,1.06407,0,0.0006535,0.0006535,0.0006535
107,1371.33,1.77485,2.03613,1.32661,0.95947,0,0.66516,0.63158,0.68732,0.28997,0.59973,0.57895,0.62035,0.26601,1.72799,1.68049,1.51382,1.06807,0,0.0006502,0.0006502,0.0006502
108,1381.97,1.81349,1.96464,1.36219,0.99108,0,0.64537,0.68421,0.68261,0.30009,0.89379,0.44312,0.58797,0.26928,1.74437,1.70516,1.48917,1.08658,0,0.0006469,0.0006469,0.0006469
109,1391.46,1.73279,1.95173,1.26614,0.99014,0,0.65834,0.68421,0.66433,0.2999,0.89343,0.44148,0.59306,0.26216,1.7636,1.69933,1.50317,1.09295,0,0.0006436,0.0006436,0.0006436
110,1400.35,1.77522,2.00633,1.36647,0.9963,0,0.65834,0.68421,0.66433,0.2999,0.89343,0.44148,0.59306,0.26216,1.7636,1.69933,1.50317,1.09295,0,0.0006403,0.0006403,0.0006403
111,1411.05,1.74984,2.11683,1.28117,0.99946,0,0.62481,0.65789,0.6321,0.29273,0.88574,0.44737,0.59476,0.26749,1.77868,1.65788,1.49134,1.09826,0,0.000637,0.000637,0.000637
112,1420.43,1.80135,1.95224,1.36743,1.03275,0,0.74292,0.5,0.64552,0.29211,0.83547,0.44737,0.58133,0.26615,1.77622,1.62329,1.47168,1.09365,0,0.0006337,0.0006337,0.0006337
113,1431.21,1.70744,1.96367,1.38816,0.96412,0,0.74201,0.55263,0.6464,0.29768,0.8392,0.47368,0.57761,0.2817,1.75783,1.55944,1.46468,1.07677,0,0.0006304,0.0006304,0.0006304
114,1441.21,1.6558,1.93358,1.18452,0.96006,0,0.74784,0.52632,0.63927,0.31531,0.75569,0.47368,0.57223,0.28351,1.72112,1.50187,1.41981,1.05764,0,0.0006271,0.0006271,0.0006271
115,1451.91,1.72397,1.95619,1.26913,0.97895,0,0.71439,0.55263,0.65349,0.33339,0.69392,0.44737,0.53929,0.30164,1.6895,1.47878,1.38283,1.0419,0,0.0006238,0.0006238,0.0006238
116,1461.55,1.6487,1.88341,1.23796,0.96944,0,0.73459,0.55263,0.69095,0.3533,0.79317,0.42105,0.60603,0.33466,1.66241,1.47796,1.34762,1.03121,0,0.0006205,0.0006205,0.0006205
117,1472.06,1.74413,1.89044,1.30022,0.93674,0,0.69674,0.57895,0.71411,0.37058,0.62942,0.52632,0.63144,0.35379,1.66057,1.48158,1.34754,1.02476,0,0.0006172,0.0006172,0.0006172
118,1482.47,1.76558,1.95786,1.32918,0.94453,0,0.69674,0.57895,0.71411,0.37058,0.62942,0.52632,0.63144,0.35379,1.66057,1.48158,1.34754,1.02476,0,0.0006139,0.0006139,0.0006139
119,1494.03,1.65985,1.82071,1.14618,0.94474,0,0.72509,0.63158,0.70739,0.37987,0.60922,0.57895,0.63903,0.35228,1.65796,1.47303,1.35273,1.02008,0,0.0006106,0.0006106,0.0006106
120,1508.54,1.70595,1.83302,1.4167,0.94976,0,0.73647,0.58854,0.69077,0.38121,0.70504,0.56633,0.63896,0.36514,1.66271,1.45289,1.34076,1.0173,0,0.0006073,0.0006073,0.0006073
121,1521.4,1.50831,1.76544,1.12764,0.94772,0,0.71611,0.60526,0.68875,0.37108,0.68409,0.57895,0.63906,0.36754,1.66615,1.44223,1.33335,1.01634,0,0.000604,0.000604,0.000604
122,1533.14,1.75664,1.83574,1.34046,0.96838,0,0.78839,0.57895,0.68727,0.36883,0.75108,0.55591,0.63175,0.36905,1.67212,1.44066,1.33917,1.02015,0,0.0006007,0.0006007,0.0006007
